algorithm,seed,U1,U2,U3,S_Mises
HGB,0,0.753692666415212,0.7176499053083296,0.6473328193213685,0.8201966640252523
MLP30ep,0,0.7825440912071933,0.7302817334250798,0.6457695396046372,0.8491414125453257
HGB,1,0.5783928698098993,0.7246441936045214,0.764436758202232,0.7724942191042377
MLP30ep,1,0.6811092454878737,0.8030356129561114,0.716945147120266,0.8672128381160554
HGB,2,0.6578659099637609,0.7723871657165043,0.5237094871621092,0.7767440863748444
MLP30ep,2,0.728454403797881,0.7792016427771424,0.7465701990934251,0.8385688271813487
HGB,3,0.5544911529824859,0.6605483378631103,0.8210487560906616,0.8075175475319475
HGB,4,0.8070235326750722,0.6606615872185471,0.5478000945763121,0.8029363971431116
