n_train_models,n_repeats,U1_mean,U1_std,U2_mean,U2_std,U3_mean,U3_std,S_Mises_mean,S_Mises_std
40,3,0.28622999654125164,0.10863893332873963,-0.3628808248629026,1.1089266569333158,0.37679801487009507,0.15102199972186117,0.6597588762997953,0.0024125905395631277
100,3,0.4560917890892054,0.06769511316666436,0.5344878451733828,0.08336209383015532,0.5380456841604145,0.027787526551883344,0.7403258078084036,0.009773190167178489
160,3,0.557733239811475,0.05276616452894281,0.6893623672556334,0.02588771060464288,0.650610959074229,0.04682380005008856,0.7763239135936343,0.013904946854359222
220,3,0.5236712939670082,0.16960344507612593,0.6984902831586709,0.07090164725992308,0.6741309139026868,0.07623824378579408,0.7901858712055443,0.01978792710986452
265,3,0.6905597616405044,0.06743560396632678,0.7936807691778981,0.05399982308439515,0.7403881585932037,0.04519122913009192,0.7999981934124692,0.014824100842909629
